Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
2.04163E-4,13.263552927,0.332333986,0.209806835,0.094076655,0
2.11634E-4,13.511996671,0.342131483,0.208023774,0.094076655,0
2.16868E-4,13.768545483,0.348909856,0.206240713,0.095238095,0
2.23745E-4,14.011718167,0.357708846,0.204606241,0.096399535,0
2.27508E-4,14.260031595,0.362474172,0.202971768,0.096399535,0
2.30729E-4,14.511996838,0.366523803,0.201337296,0.099883856,0
2.35354E-4,14.768567384,0.372293998,0.199702823,0.103368177,0
2.3802E-4,15.00507302,0.375597336,0.198216939,0.108013937,0
2.43571E-4,15.270264771,0.382417943,0.196582467,0.109175377,0
2.45847E-4,15.515087198,0.385192908,0.195096582,0.109175377,0
2.48842E-4,15.762579983,0.388824718,0.193610698,0.109175377,0
2.51655E-4,16.013326685,0.392217438,0.192124814,0.110336818,0
2.56635E-4,16.267584358,0.398177547,0.19063893,0.113821138,0
2.59998E-4,16.500471458,0.402168351,0.189301634,0.116144019,0
2.62727E-4,16.76231891,0.405387934,0.18781575,0.119628339,0
2.66853E-4,17.026682624,0.410222821,0.186329866,0.12195122,0
2.67894E-4,17.481698181,0.411435816,0.183803863,0.140534262,0
2.69579E-4,17.508656112,0.413395315,0.183655275,0.140534262,0
2.74175E-4,17.754135763,0.418704839,0.182317979,0.141695703,0
2.80445E-4,18.003706907,0.425871843,0.180980684,0.141695703,0
2.81142E-4,18.34099021,0.426663615,0.179197623,0.154471545,0
2.82651E-4,18.510158573,0.428372376,0.178306092,0.157955865,0
2.87406E-4,18.767607965,0.433726296,0.176968796,0.157955865,0
2.92685E-4,19.000337402,0.439609656,0.175780089,0.157955865,0
2.97534E-4,19.265996589,0.444960685,0.174442793,0.157955865,0
3.02178E-4,19.505980255,0.450038163,0.173254086,0.157955865,0
3.0884E-4,19.780428355,0.457239164,0.17191679,0.159117305,0
3.14593E-4,20.375087496,0.463382528,0.169093611,0.174216028,0
3.15488E-4,20.501217591,0.464332628,0.168499257,0.174216028,0
3.17225E-4,20.754533515,0.466170278,0.16731055,0.174216028,0
3.23817E-4,21.011112912,0.473088399,0.166121842,0.174216028,0
3.27849E-4,21.271753425,0.477275343,0.164933135,0.174216028,0
3.32877E-4,21.502655182,0.482450069,0.163893016,0.174216028,0
3.36148E-4,21.770459586,0.485788582,0.162704309,0.176538908,0
3.40275E-4,22.007372371,0.489970522,0.16166419,0.178861789,0
3.44472E-4,22.281394648,0.494188466,0.160475483,0.178861789,0
3.46566E-4,22.523010353,0.496279641,0.159435364,0.18466899,0
3.50372E-4,22.76656927,0.500059169,0.158395245,0.18583043,0
3.53189E-4,23.012766613,0.502837561,0.157355126,0.18583043,0
3.57487E-4,23.26151611,0.507047673,0.156315007,0.191637631,0
3.60041E-4,23.512457399,0.509532362,0.155274889,0.193960511,0
