X,Y,Test or train,Raw prediction,Cumulative prediction,Cloglog prediction
905.0,905.0,train,1.9158969540460948E-4,46.4317943586671,0.7192801625581715
906.0,906.0,train,1.352456670050396E-4,35.96434163291899,0.5921234082449014
907.0,907.0,train,1.1320127906031098E-4,30.03946991619423,0.5279253261292582
908.0,908.0,train,8.927740024238233E-6,2.54579440618486,0.05748015075513091
909.0,909.0,train,4.699467747665275E-5,11.566165818820565,0.26773556236260876
910.0,910.0,train,2.2699281085089278E-4,53.320056427639486,0.7780160197743026
911.0,911.0,train,5.985003145039095E-5,14.376861692219894,0.32756861670261717
912.0,912.0,train,2.86297843895885E-4,66.46818845914297,0.8501906024213
913.0,913.0,train,6.752906181426399E-5,16.34944825027429,0.3609506048685539
914.0,914.0,train,2.11980411146022E-4,49.97538662315645,0.75478145249755
915.0,915.0,train,2.385869823192071E-4,56.54936860920656,0.7944424028407023
916.0,916.0,train,5.9608615815162626E-5,14.324600891229705,0.32649133640218
917.0,917.0,train,5.985003145039095E-5,14.376861692219894,0.32756861670261717
918.0,918.0,train,3.892403219671226E-4,89.14307084679032,0.9243006147605621
919.0,919.0,train,1.3582997676516063E-4,36.12825346210194,0.5937006510831244
920.0,920.0,train,3.6199773457450975E-4,82.52851272393895,0.909313280542953
921.0,921.0,train,4.1148277397597805E-4,95.0186227439595,0.9346809197129932
922.0,922.0,train,2.385869823192071E-4,56.54936860920656,0.7944424028407023
923.0,923.0,train,2.1767360783698592E-4,50.955173665482704,0.7638660470703942
924.0,924.0,train,1.2342941439612612E-4,32.978935943888935,0.5588803365208161
925.0,925.0,train,3.2943931048097486E-4,76.12683669026225,0.8874609579955536
926.0,926.0,train,1.1534509823096136E-4,30.73317401581342,0.5345885344972088
927.0,927.0,train,2.8030673749861163E-4,65.59889005900627,0.8441194835806731
928.0,928.0,train,1.3148595409181267E-4,34.83260162189443,0.5818272338045516
929.0,929.0,train,2.7924589745641296E-4,65.22336620490816,0.8430191159649141
930.0,930.0,train,1.5987941726459826E-4,40.791767991393144,0.6535901814163799
931.0,931.0,train,1.0564431563377165E-4,27.882674430717817,0.5036674838300901
932.0,932.0,train,2.2858149919232766E-4,53.810865518940815,0.780342195666274
933.0,933.0,train,2.3486073788084934E-4,55.60574994560828,0.7893002034804677
934.0,934.0,train,2.0851398267392187E-5,6.267337317450693,0.12912951909665515
935.0,935.0,train,1.1748554736429222E-4,31.419620969389346,0.5411474399861667
936.0,936.0,train,3.9662200147821096E-4,92.17726364656359,0.9279166275695858
937.0,937.0,train,1.9074800951324598E-4,46.334861462642266,0.7177090643718609
938.0,938.0,train,3.380682661420287E-4,79.12321682301474,0.8937193656831469
939.0,939.0,train,1.352456670050396E-4,35.96434163291899,0.5921234082449014
940.0,940.0,train,2.1378733320884545E-4,50.217503784615985,0.7577019800418929
941.0,941.0,train,1.6436258489530847E-4,41.69514387909711,0.663736387987085
942.0,942.0,train,1.1351159575009076E-4,30.147389702230022,0.5288956948651675
943.0,943.0,train,1.9803330530299013E-4,47.50801074155536,0.7310217047201708
944.0,944.0,train,1.352456670050396E-4,35.96434163291899,0.5921234082449014
945.0,945.0,train,2.066454587050199E-4,48.75844989415625,0.7459515516722839
946.0,946.0,train,1.2347693744022632E-4,33.012056032357556,0.5590193189639919
947.0,947.0,train,1.352456670050396E-4,35.96434163291899,0.5921234082449014
948.0,948.0,train,3.6199773457450975E-4,82.52851272393895,0.909313280542953
949.0,949.0,train,7.963287663278882E-5,20.22099968888421,0.41023541437247
950.0,950.0,train,2.550175380975018E-4,61.33463899374038,0.815660696576585
951.0,951.0,train,3.1951576809124385E-4,72.28033055883336,0.8798066742474389
952.0,952.0,train,1.2347693744022632E-4,33.012056032357556,0.5590193189639919
953.0,953.0,train,2.3618395016316158E-4,55.942163733092734,0.7911407952781255
954.0,954.0,train,3.9593439077443204E-4,90.18545269442707,0.927587218261677
955.0,955.0,train,6.342597495061056E-5,15.258943330518639,0.34332540193817795
956.0,956.0,train,2.3030196500579882E-4,54.40865263007211,0.7828338368376693
957.0,957.0,train,2.824648216024092E-4,66.02786130874307,0.846334231250568
958.0,958.0,train,4.855536684023009E-5,11.852937242080031,0.27527444298265913
959.0,959.0,train,3.6199773457450975E-4,82.52851272393895,0.909313280542953
960.0,960.0,train,3.2943931048097486E-4,76.12683669026225,0.8874609579955536
961.0,961.0,train,9.359790754998975E-5,24.50855593960192,0.46239518497533316
962.0,962.0,train,1.5856695671584534E-4,40.57403901736477,0.6505623249336807
963.0,963.0,train,2.3654684330148815E-4,56.007476836576096,0.7916427651615202
964.0,964.0,train,2.0070071037243207E-4,48.03276201547384,0.7357373253866795
965.0,965.0,train,2.9887820060330847E-4,68.78181935537783,0.8621803930168599
966.0,966.0,train,3.9593439077443204E-4,90.18545269442707,0.927587218261677
967.0,967.0,train,3.9662200147821096E-4,92.17726364656359,0.9279166275695858
968.0,968.0,train,3.2943931048097486E-4,76.12683669026225,0.8874609579955536
969.0,969.0,train,1.239607246686871E-4,33.16051187332193,0.5604316784731698
970.0,970.0,train,1.0902147136691898E-4,28.803054733651884,0.5146585022821779
971.0,971.0,train,2.0875298124608247E-4,49.162795789469456,0.7494770901345527
972.0,972.0,train,2.2902331910763712E-4,54.0040308582806,0.7809847703599834
973.0,973.0,train,1.238031323699053E-4,33.112152809938635,0.5599721038854029
974.0,974.0,train,3.1951576809124385E-4,72.28033055883336,0.8798066742474389
975.0,975.0,train,1.352456670050396E-4,35.96434163291899,0.5921234082449014
976.0,976.0,train,1.232157364424806E-4,32.75876513786755,0.5582548880500962
977.0,977.0,train,2.1808265654610804E-4,51.088335683321176,0.7645056527615818
978.0,978.0,train,3.6199773457450975E-4,82.52851272393895,0.909313280542953
979.0,979.0,train,3.0719220608101474E-4,69.77248806200116,0.8695725801659102
980.0,980.0,train,3.6199773457450975E-4,82.52851272393895,0.909313280542953
981.0,981.0,train,2.880230416824954E-4,67.14472784718579,0.851894580339222
982.0,982.0,train,2.8782383389564447E-4,67.00105931359577,0.8516988167930588
983.0,983.0,train,1.9413247296810816E-4,46.793080687782606,0.7239736218783075
984.0,984.0,train,2.8834250318570905E-4,67.37525549723038,0.8522079791031203
985.0,985.0,train,3.3142430314730433E-4,76.25900243054141,0.8889325073416826
986.0,986.0,train,2.507446058644998E-4,60.33363692326339,0.8103631032019489
987.0,987.0,train,1.1896509890079932E-4,31.786600696477315,0.5456270720048804
988.0,988.0,train,2.65890636264355E-4,62.3542789569683,0.8284833293546777
989.0,989.0,train,3.6199773457450975E-4,82.52851272393895,0.909313280542953
990.0,990.0,train,2.4974074376283244E-4,59.758053222956256,0.8090965867809659
991.0,991.0,train,4.001821336970613E-4,93.83667412275156,0.9295983444895153
992.0,992.0,train,2.2699281085089278E-4,53.320056427639486,0.7780160197743026
993.0,993.0,train,1.1896509890079932E-4,31.786600696477315,0.5456270720048804
994.0,994.0,train,2.2902331910763712E-4,54.0040308582806,0.7809847703599834
995.0,995.0,train,3.109018879827904E-4,70.88331403615746,0.8727417300321488
996.0,996.0,train,3.700057640689573E-4,85.98941306873867,0.9140031157968601
997.0,997.0,train,1.3768980375351622E-4,36.59548260506721,0.598680443281342
998.0,998.0,train,2.1742899535097865E-4,50.89893730834101,0.7634827310123777
999.0,999.0,train,3.380682661420287E-4,79.12321682301474,0.8937193656831469
1000.0,1000.0,train,1.232157364424806E-4,32.75876513786755,0.5582548880500962
