Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
1.0081E-4,26.508381054,0.487498302,0.14312153,0.232035454,0
1.0169E-4,26.751513141,0.490482383,0.142063982,0.235517569,0
1.02623E-4,27.007057917,0.49362461,0.140962369,0.236467236,0
1.0344E-4,27.254272928,0.49635869,0.139904821,0.238683128,0
1.04239E-4,27.503714555,0.499019801,0.138803208,0.240582463,0
1.05208E-4,27.755235755,0.502229908,0.137789724,0.244381133,0
1.06076E-4,28.00876041,0.505085437,0.136732176,0.245330801,0
1.07074E-4,28.253676474,0.508351479,0.135718692,0.245963913,0
1.08095E-4,28.501072654,0.511667536,0.134705208,0.247546692,0
1.08816E-4,28.750539799,0.513996503,0.133691725,0.251028807,0
1.09799E-4,29.001777631,0.517153011,0.132678241,0.252611586,0
1.10249E-4,29.254921933,0.518591341,0.131664757,0.257043368,0
1.11262E-4,29.509910024,0.521815448,0.130651273,0.259892371,0
1.12388E-4,29.755902544,0.525373732,0.129681854,0.261791706,0
1.13099E-4,30.003900014,0.527604534,0.128712435,0.262741374,0
1.13817E-4,30.253601074,0.529849227,0.127743016,0.266223488,0
1.14638E-4,30.516566877,0.532400824,0.126729532,0.268122824,0
1.15427E-4,30.758263186,0.534841445,0.125804177,0.270338715,0
1.16305E-4,31.013252995,0.537541157,0.124834758,0.273504274,0
1.17039E-4,31.258390757,0.539785982,0.123909403,0.27603672,0
1.1782E-4,31.540378304,0.542163878,0.122851855,0.279518835,0
1.18979E-4,31.78958975,0.545668244,0.1219265,0.281734726,0
1.20075E-4,32.004682261,0.548958729,0.121133339,0.283634061,0
1.21134E-4,32.257960569,0.552114452,0.120207984,0.286166508,0
1.22099E-4,32.501318727,0.554971657,0.119326694,0.288382399,0
1.23216E-4,32.758825897,0.558254888,0.11840134,0.289015511,0
1.23455E-4,33.005324269,0.558954909,0.117520049,0.295030073,0
1.24262E-4,33.252961777,0.561308661,0.116638759,0.298512187,0
1.25384E-4,33.502556957,0.564559592,0.115757469,0.299778411,0
1.26559E-4,33.754625815,0.567940483,0.114876179,0.301044634,0
1.27895E-4,34.008781976,0.571749769,0.113994889,0.302627414,0
1.28581E-4,34.252370905,0.573694655,0.113157663,0.304210193,0
1.29822E-4,34.54971007,0.577187038,0.112144179,0.307059196,0
1.30939E-4,34.758403769,0.580306486,0.111439147,0.308641975,0
