x,y,species cloglog values
568.0,568.0,0.050941184
569.0,569.0,8.55563E-5
570.0,570.0,0.007899594
571.0,571.0,0.23642188
572.0,572.0,0.43665147
573.0,573.0,0.110496365
574.0,574.0,0.34120125
575.0,575.0,0.0029701178
576.0,576.0,0.006600455
577.0,577.0,0.013459795
578.0,578.0,0.019666065
579.0,579.0,1.1143504E-4
580.0,580.0,0.0016572258
581.0,581.0,0.004968033
582.0,582.0,0.019824924
583.0,583.0,0.0037969728
584.0,584.0,6.9433416E-4
585.0,585.0,0.002580007
586.0,586.0,0.81066006
587.0,587.0,0.0015206678
588.0,588.0,0.0022305248
589.0,589.0,7.3979645E-5
590.0,590.0,1.3822183E-4
591.0,591.0,0.018886767
592.0,592.0,2.204254E-4
593.0,593.0,0.01892742
594.0,594.0,0.08458345
595.0,595.0,1.6043003E-4
596.0,596.0,0.060643658
597.0,597.0,0.011306387
598.0,598.0,0.21945418
599.0,599.0,0.1369936
600.0,600.0,0.16125657
601.0,601.0,0.7922136
602.0,602.0,1.6339257E-4
603.0,603.0,4.679142E-5
604.0,604.0,0.06906776
605.0,605.0,5.2772445E-4
606.0,606.0,0.046018604
607.0,607.0,4.2473458E-4
608.0,608.0,4.680891E-4
609.0,609.0,0.26451582
610.0,610.0,0.46519315
611.0,611.0,0.06626879
612.0,612.0,0.0069971057
613.0,613.0,0.018897764
614.0,614.0,0.5705769
615.0,615.0,0.048328154
616.0,616.0,0.045663375
617.0,617.0,0.09165195
618.0,618.0,0.03352957
619.0,619.0,0.05994189
620.0,620.0,0.064304054
621.0,621.0,0.061282866
622.0,622.0,0.027397288
623.0,623.0,0.21170516
624.0,624.0,0.35038686
625.0,625.0,0.011156952
626.0,626.0,0.4491974
627.0,627.0,0.039938126
628.0,628.0,1.7282223E-4
629.0,629.0,0.5459907
630.0,630.0,0.08960211
631.0,631.0,5.2110976E-5
632.0,632.0,0.033710007
633.0,633.0,0.4289318
634.0,634.0,0.16134945
635.0,635.0,0.1393158
636.0,636.0,0.041291293
637.0,637.0,4.536883E-5
638.0,638.0,3.5633688E-4
639.0,639.0,0.009636767
640.0,640.0,1.8467604E-4
641.0,641.0,0.41852108
642.0,642.0,0.09778671
643.0,643.0,0.08055648
644.0,644.0,0.03492636
