x,y,species cloglog values
291.0,291.0,0.03067242
292.0,292.0,0.23184495
293.0,293.0,0.27030623
294.0,294.0,0.001046053
295.0,295.0,8.872031E-5
296.0,296.0,0.5301163
297.0,297.0,0.036344994
298.0,298.0,1.0335657E-6
299.0,299.0,0.17210802
300.0,300.0,0.031833116
301.0,301.0,0.009435201
302.0,302.0,4.388741E-7
303.0,303.0,0.013902651
304.0,304.0,0.012288794
305.0,305.0,0.51226574
306.0,306.0,0.21151344
307.0,307.0,0.047042478
308.0,308.0,0.597787
309.0,309.0,0.001392485
310.0,310.0,0.51244015
311.0,311.0,3.0703927E-8
312.0,312.0,0.004833696
313.0,313.0,1.2709116E-4
314.0,314.0,1.7220105E-5
315.0,315.0,1.1596596E-4
316.0,316.0,0.26121408
317.0,317.0,0.0012563744
318.0,318.0,0.0012801831
319.0,319.0,0.6471367
320.0,320.0,0.02508745
321.0,321.0,0.020114388
322.0,322.0,0.9944083
323.0,323.0,0.01986729
324.0,324.0,2.228965E-7
325.0,325.0,0.17632821
326.0,326.0,0.004146669
327.0,327.0,1.6647258E-6
328.0,328.0,0.003025797
329.0,329.0,8.106277E-6
330.0,330.0,0.40750584
331.0,331.0,0.0011618857
332.0,332.0,3.9012662E-5
333.0,333.0,9.199478E-4
334.0,334.0,0.0067871874
335.0,335.0,0.054398432
336.0,336.0,0.04523748
337.0,337.0,5.166124E-7
338.0,338.0,0.041422386
339.0,339.0,1.0817556E-8
340.0,340.0,0.07201511
341.0,341.0,0.4904832
342.0,342.0,1.0739618E-5
343.0,343.0,0.0073078377
344.0,344.0,4.1239323E-7
345.0,345.0,0.30958885
346.0,346.0,0.17361037
347.0,347.0,0.033976268
348.0,348.0,3.263091E-7
349.0,349.0,0.015484918
350.0,350.0,0.10442093
351.0,351.0,0.072394945
352.0,352.0,2.0235449E-9
353.0,353.0,6.548984E-7
354.0,354.0,0.020717835
355.0,355.0,0.015592879
356.0,356.0,0.15032174
357.0,357.0,4.1585204E-6
358.0,358.0,0.9259546
359.0,359.0,0.08746405
360.0,360.0,1.2068454E-6
361.0,361.0,2.131947E-4
362.0,362.0,2.7352098E-10
363.0,363.0,0.13808359
364.0,364.0,0.02237126
365.0,365.0,0.10937104
366.0,366.0,0.0012726675
367.0,367.0,0.0027254145
368.0,368.0,0.007457764
369.0,369.0,0.015837593
370.0,370.0,4.547001E-8
371.0,371.0,0.008940519
372.0,372.0,0.10428427
373.0,373.0,0.21101977
374.0,374.0,4.2725416E-5
375.0,375.0,0.07727308
376.0,376.0,0.28010282
377.0,377.0,1.2546122E-6
378.0,378.0,4.274105E-6
379.0,379.0,2.9299967E-8
380.0,380.0,0.01267383
381.0,381.0,0.06966638
382.0,382.0,0.4887839
383.0,383.0,0.06625161
384.0,384.0,0.063380696
385.0,385.0,0.34770465
386.0,386.0,0.0013308146
387.0,387.0,0.0074169184
388.0,388.0,0.025654534
389.0,389.0,0.39638382
390.0,390.0,4.6839434E-4
391.0,391.0,2.5201606E-4
392.0,392.0,0.29360628
393.0,393.0,2.7683674E-5
394.0,394.0,0.5081644
395.0,395.0,0.14695802
396.0,396.0,1.8449758E-7
397.0,397.0,0.07530983
398.0,398.0,0.058688365
399.0,399.0,0.14558698
400.0,400.0,0.13109167
401.0,401.0,0.0011390538
402.0,402.0,0.072699375
403.0,403.0,0.0013830636
404.0,404.0,0.29190034
405.0,405.0,0.25590435
406.0,406.0,7.999862E-7
407.0,407.0,0.0016589815
408.0,408.0,0.029275928
409.0,409.0,0.23518069
410.0,410.0,7.733842E-4
411.0,411.0,0.016830908
412.0,412.0,5.5892706E-5
413.0,413.0,0.024004193
414.0,414.0,4.808265E-7
415.0,415.0,0.10786551
416.0,416.0,2.4286336E-7
417.0,417.0,0.02138304
418.0,418.0,6.3221884E-4
419.0,419.0,0.1617442
420.0,420.0,0.041603815
421.0,421.0,0.0023784623
422.0,422.0,0.010463749
423.0,423.0,0.501106
424.0,424.0,0.0019394099
425.0,425.0,5.8885524E-4
426.0,426.0,9.979438E-4
427.0,427.0,0.20923309
428.0,428.0,3.3025246E-4
429.0,429.0,0.25330815
430.0,430.0,0.020903142
431.0,431.0,5.2569174E-8
432.0,432.0,3.605708E-6
433.0,433.0,1.8815474E-4
434.0,434.0,0.019700406
435.0,435.0,0.04182195
436.0,436.0,0.06940102
437.0,437.0,0.5318233
438.0,438.0,7.0309994E-5
439.0,439.0,0.33822975
440.0,440.0,0.0020100446
441.0,441.0,1.5543505E-4
442.0,442.0,0.0064336974
443.0,443.0,0.0058338325
444.0,444.0,0.037171923
445.0,445.0,0.30974287
446.0,446.0,0.46643618
447.0,447.0,6.8448267E-6
448.0,448.0,6.770078E-5
449.0,449.0,1.0411891E-6
450.0,450.0,8.623105E-6
451.0,451.0,0.08479905
452.0,452.0,3.3208267E-5
453.0,453.0,0.18537305
454.0,454.0,0.43499252
455.0,455.0,0.15364191
456.0,456.0,0.11231694
457.0,457.0,0.41769308
458.0,458.0,5.5747027E-5
459.0,459.0,1.0806209E-4
460.0,460.0,1.5492682E-6
461.0,461.0,0.035763636
462.0,462.0,5.5987375E-6
463.0,463.0,6.004303E-5
464.0,464.0,0.47484955
465.0,465.0,0.01928698
466.0,466.0,0.005951098
467.0,467.0,1.1378924E-6
468.0,468.0,5.297317E-5
469.0,469.0,0.47544137
470.0,470.0,0.01749121
471.0,471.0,1.8831617E-4
472.0,472.0,0.011650698
473.0,473.0,3.0411102E-6
474.0,474.0,0.012473626
475.0,475.0,1.0024628E-6
476.0,476.0,5.553825E-4
477.0,477.0,0.15983365
478.0,478.0,0.0021158126
479.0,479.0,1.7113794E-4
480.0,480.0,9.0328604E-7
481.0,481.0,1.6707702E-8
482.0,482.0,0.6824994
483.0,483.0,0.21203542
484.0,484.0,1.3124835E-9
485.0,485.0,6.2806444E-5
486.0,486.0,0.002424276
487.0,487.0,0.62619126
488.0,488.0,0.0014256836
489.0,489.0,0.10687178
490.0,490.0,4.5927172E-4
491.0,491.0,0.012604785
492.0,492.0,0.059092306
493.0,493.0,0.869536
494.0,494.0,0.005101866
495.0,495.0,0.1525
496.0,496.0,4.591983E-5
497.0,497.0,2.2189883E-7
498.0,498.0,0.69192755
499.0,499.0,0.025354192
500.0,500.0,2.276616E-4
501.0,501.0,0.065513715
502.0,502.0,0.035689373
503.0,503.0,0.00790258
504.0,504.0,0.009902447
505.0,505.0,0.023843508
506.0,506.0,0.04334145
507.0,507.0,5.3449394E-4
508.0,508.0,0.37503526
509.0,509.0,0.05197278
510.0,510.0,0.14179826
511.0,511.0,0.023237178
512.0,512.0,3.076251E-5
513.0,513.0,0.1617179
514.0,514.0,2.1307828E-4
515.0,515.0,4.4115377E-4
516.0,516.0,0.6835078
517.0,517.0,0.028087445
518.0,518.0,0.047038395
519.0,519.0,0.0025834183
520.0,520.0,0.008050397
521.0,521.0,1.8580897E-4
522.0,522.0,0.22167867
523.0,523.0,0.0084616775
524.0,524.0,0.38427633
525.0,525.0,0.004682135
526.0,526.0,0.2200227
527.0,527.0,6.0912098E-5
528.0,528.0,0.4836246
529.0,529.0,0.17741102
530.0,530.0,0.6776232
531.0,531.0,0.06364792
532.0,532.0,1.4022975E-4
533.0,533.0,1.1364955E-6
534.0,534.0,0.039089467
535.0,535.0,0.09824965
536.0,536.0,0.06535323
537.0,537.0,0.040077135
538.0,538.0,0.8182401
539.0,539.0,0.031821016
540.0,540.0,0.43635038
541.0,541.0,0.22545443
542.0,542.0,0.0027697699
543.0,543.0,0.022396704
544.0,544.0,5.118871E-8
545.0,545.0,0.0560217
546.0,546.0,0.17043105
547.0,547.0,1.02472576E-7
548.0,548.0,0.45044783
549.0,549.0,3.3950753E-9
550.0,550.0,0.30765495
551.0,551.0,1.34491565E-5
552.0,552.0,0.062240586
553.0,553.0,0.004280856
554.0,554.0,0.04552947
555.0,555.0,1.4882957E-4
556.0,556.0,5.013181E-10
557.0,557.0,0.002502681
558.0,558.0,2.0157975E-10
559.0,559.0,0.004592775
560.0,560.0,1.3330801E-4
561.0,561.0,8.300028E-4
562.0,562.0,0.4946473
563.0,563.0,9.289385E-4
564.0,564.0,0.011339645
565.0,565.0,9.1643445E-4
566.0,566.0,2.0842726E-6
567.0,567.0,0.20985977
568.0,568.0,0.43944
569.0,569.0,1.1453807E-6
570.0,570.0,2.9076748E-6
571.0,571.0,0.011028612
572.0,572.0,5.5758505E-6
573.0,573.0,0.08987143
574.0,574.0,0.55593807
575.0,575.0,0.01236458
576.0,576.0,0.0062841256
577.0,577.0,1.2188526E-4
578.0,578.0,3.5377763E-8
579.0,579.0,0.0029565024
580.0,580.0,2.5673362E-6
581.0,581.0,9.646817E-6
582.0,582.0,1.1247695E-6
583.0,583.0,0.17417581
584.0,584.0,0.030884448
585.0,585.0,1.8563574E-5
586.0,586.0,2.177603E-6
587.0,587.0,1.15277325E-8
588.0,588.0,3.5198612E-4
589.0,589.0,0.3986666
590.0,590.0,0.07409516
591.0,591.0,0.009907811
592.0,592.0,0.04729455
593.0,593.0,0.03321008
594.0,594.0,0.0023547383
595.0,595.0,0.0013955496
596.0,596.0,1.5999984E-7
597.0,597.0,1.04257325E-7
598.0,598.0,1.1787017E-5
599.0,599.0,0.0023756726
600.0,600.0,5.8157917E-4
601.0,601.0,2.8644206E-6
602.0,602.0,0.020992879
603.0,603.0,0.080566086
604.0,604.0,8.726887E-4
605.0,605.0,1.8968995E-4
606.0,606.0,0.031041551
607.0,607.0,1.745228E-5
608.0,608.0,1.6762351E-4
609.0,609.0,0.0012977835
610.0,610.0,0.36340952
611.0,611.0,0.005589382
612.0,612.0,2.917847E-6
613.0,613.0,0.03950731
614.0,614.0,0.005913914
615.0,615.0,0.001179819
616.0,616.0,0.023428584
617.0,617.0,1.5962293E-4
618.0,618.0,0.090308994
619.0,619.0,3.5279837E-7
620.0,620.0,0.48273188
621.0,621.0,0.0012095819
622.0,622.0,0.2664938
623.0,623.0,0.0010478606
624.0,624.0,0.6889079
625.0,625.0,5.315145E-10
626.0,626.0,0.0021308935
627.0,627.0,0.092205055
628.0,628.0,0.01305805
629.0,629.0,0.8998432
630.0,630.0,0.46556672
631.0,631.0,0.02932178
632.0,632.0,0.48422673
633.0,633.0,0.03061576
634.0,634.0,0.0061197476
635.0,635.0,1.4360123E-5
636.0,636.0,0.4669038
