x,y,species cloglog values
353.0,353.0,0.5688742
354.0,354.0,0.052695118
355.0,355.0,0.07756394
356.0,356.0,3.0481144E-5
357.0,357.0,0.6979052
358.0,358.0,0.03670627
359.0,359.0,0.050762344
360.0,360.0,1.2018088E-4
361.0,361.0,0.4742291
362.0,362.0,6.0428353E-4
363.0,363.0,0.24386962
364.0,364.0,0.571713
365.0,365.0,0.07275988
366.0,366.0,0.018678563
367.0,367.0,0.04830052
368.0,368.0,0.07063217
369.0,369.0,0.061915614
370.0,370.0,0.08933905
371.0,371.0,0.025849918
372.0,372.0,0.103930704
373.0,373.0,0.055166714
374.0,374.0,0.026996411
375.0,375.0,0.638226
376.0,376.0,0.23325504
377.0,377.0,1.8428381E-4
378.0,378.0,0.09715062
379.0,379.0,0.01095603
380.0,380.0,0.014585328
381.0,381.0,0.33934274
382.0,382.0,0.03859434
383.0,383.0,0.3246205
384.0,384.0,0.19268145
385.0,385.0,8.472431E-4
386.0,386.0,0.031284016
387.0,387.0,7.4209114E-5
388.0,388.0,0.016246056
389.0,389.0,0.025690893
390.0,390.0,0.03308721
391.0,391.0,0.15075496
392.0,392.0,1.4262894E-4
393.0,393.0,4.6447647E-5
394.0,394.0,0.010609593
395.0,395.0,0.040979113
396.0,396.0,0.108833194
397.0,397.0,0.022578388
398.0,398.0,0.0016735604
399.0,399.0,0.5284194
400.0,400.0,0.11075033
401.0,401.0,7.1616576E-4
402.0,402.0,0.08869365
403.0,403.0,0.64184004
404.0,404.0,0.6008939
405.0,405.0,0.025591062
406.0,406.0,0.38463604
407.0,407.0,0.39688504
408.0,408.0,0.060082838
409.0,409.0,0.004060778
410.0,410.0,0.0012535014
411.0,411.0,0.08761868
412.0,412.0,1.3746985E-4
413.0,413.0,0.650117
414.0,414.0,0.49106005
415.0,415.0,9.0925554E-5
416.0,416.0,0.6526617
417.0,417.0,0.3144267
418.0,418.0,0.25719473
419.0,419.0,0.32393032
420.0,420.0,0.019282844
421.0,421.0,0.079997696
422.0,422.0,0.088453494
423.0,423.0,0.094440915
424.0,424.0,0.005415896
425.0,425.0,0.0012882556
426.0,426.0,0.3984143
427.0,427.0,0.253488
428.0,428.0,0.101312436
429.0,429.0,0.08909282
430.0,430.0,0.0028605547
431.0,431.0,0.080880776
432.0,432.0,6.4078503E-4
433.0,433.0,1.6579608E-4
434.0,434.0,0.006528119
435.0,435.0,0.21270427
436.0,436.0,9.412227E-4
437.0,437.0,0.36868447
438.0,438.0,0.0031623803
439.0,439.0,9.588324E-5
440.0,440.0,0.08221343
441.0,441.0,0.021996625
442.0,442.0,0.02727627
443.0,443.0,6.0725517E-5
444.0,444.0,0.12940444
445.0,445.0,0.042801645
446.0,446.0,4.250099E-4
447.0,447.0,0.2517481
448.0,448.0,0.042352535
449.0,449.0,0.10581277
450.0,450.0,0.2888918
451.0,451.0,0.035821248
452.0,452.0,0.022735812
453.0,453.0,3.279016E-4
454.0,454.0,0.036314562
455.0,455.0,0.20885317
456.0,456.0,0.6710644
457.0,457.0,0.11411123
458.0,458.0,6.668755E-4
459.0,459.0,0.16099845
460.0,460.0,0.3267575
461.0,461.0,0.10777232
462.0,462.0,0.13838528
463.0,463.0,8.4506616E-4
464.0,464.0,0.004706842
465.0,465.0,0.0024716626
466.0,466.0,0.60671526
467.0,467.0,0.5225388
468.0,468.0,0.09857387
469.0,469.0,0.024612531
470.0,470.0,0.013953831
471.0,471.0,0.07727872
472.0,472.0,0.061526097
473.0,473.0,0.015639862
474.0,474.0,0.40764874
475.0,475.0,1.19435186E-4
476.0,476.0,0.023020979
477.0,477.0,0.00527983
478.0,478.0,0.023247778
479.0,479.0,0.32227743
480.0,480.0,0.08181161
481.0,481.0,0.31699294
482.0,482.0,0.09631382
483.0,483.0,0.16967778
484.0,484.0,0.028204368
485.0,485.0,1.5993773E-4
486.0,486.0,0.0628219
487.0,487.0,1.5579096E-4
488.0,488.0,8.4031484E-4
489.0,489.0,4.706723E-4
490.0,490.0,0.22276656
491.0,491.0,1.9353176E-4
492.0,492.0,0.3364592
493.0,493.0,0.01716231
494.0,494.0,0.31390762
495.0,495.0,0.5857615
496.0,496.0,0.0010436521
497.0,497.0,0.1304704
498.0,498.0,9.309473E-5
499.0,499.0,0.012048992
500.0,500.0,0.06948389
501.0,501.0,0.07052807
502.0,502.0,0.011650637
503.0,503.0,3.741894E-4
504.0,504.0,0.43027613
505.0,505.0,0.022643777
