"layer","x","y"
"1",-114.770833333333,37.3958333333333
"1",-114.729166666667,37.3958333333333
"1",-114.6875,37.3958333333333
"1",-114.645833333333,37.3958333333333
"1",-114.604166666667,37.3958333333333
"1",-114.5625,37.3958333333333
"1",-114.520833333333,37.3958333333333
"1",-114.479166666667,37.3958333333333
"1",-114.4375,37.3958333333333
"1",-114.395833333333,37.3958333333333
"1",-114.354166666667,37.3958333333333
"1",-114.3125,37.3958333333333
"1",-114.270833333333,37.3958333333333
"1",-114.229166666667,37.3958333333333
"1",-114.1875,37.3958333333333
"1",-114.145833333333,37.3958333333333
"1",-114.104166666667,37.3958333333333
"0",-116.0625,37.3541666666667
"0",-116.020833333333,37.3541666666667
"0",-115.979166666667,37.3541666666667
"0",-115.9375,37.3541666666667
"0",-115.895833333333,37.3541666666667
"0",-115.854166666667,37.3541666666667
"0",-115.8125,37.3541666666667
"0",-115.770833333333,37.3541666666667
"0",-115.729166666667,37.3541666666667
"0",-115.6875,37.3541666666667
"0",-115.645833333333,37.3541666666667
"0",-115.604166666667,37.3541666666667
"0",-115.5625,37.3541666666667
"0",-115.520833333333,37.3541666666667
"0",-115.479166666667,37.3541666666667
"0",-115.4375,37.3541666666667
"0",-115.395833333333,37.3541666666667
"1",-115.354166666667,37.3541666666667
"1",-115.3125,37.3541666666667
"1",-115.270833333333,37.3541666666667
"0",-115.229166666667,37.3541666666667
"0",-115.1875,37.3541666666667
"0",-115.145833333333,37.3541666666667
"1",-115.104166666667,37.3541666666667
"1",-115.0625,37.3541666666667
"1",-115.020833333333,37.3541666666667
"1",-114.979166666667,37.3541666666667
"0",-114.9375,37.3541666666667
"0",-114.895833333333,37.3541666666667
"0",-114.854166666667,37.3541666666667
"1",-114.8125,37.3541666666667
"1",-114.770833333333,37.3541666666667
"1",-114.729166666667,37.3541666666667
"1",-114.6875,37.3541666666667
"1",-114.645833333333,37.3541666666667
"1",-114.604166666667,37.3541666666667
"1",-114.5625,37.3541666666667
"1",-114.520833333333,37.3541666666667
"1",-114.479166666667,37.3541666666667
"1",-114.4375,37.3541666666667
"1",-114.395833333333,37.3541666666667
"1",-114.354166666667,37.3541666666667
"1",-114.3125,37.3541666666667
"1",-114.270833333333,37.3541666666667
"1",-114.229166666667,37.3541666666667
"1",-114.1875,37.3541666666667
"1",-114.145833333333,37.3541666666667
"1",-114.104166666667,37.3541666666667
"1",-114.0625,37.3541666666667
